id,label,text
8901,5,"Bennett 's naturalistic performance speaks volumes more truth than any ` reality ' show , and anybody contemplating their own drastic life changes should watch Some Body first ."
2506,5,"Shot in rich , shadowy black-and-white , Devils chronicles , with increasingly amused irony , the relationship between reluctant captors and befuddled captives ."
2381,5,"More than their unique residences , Home Movie is about the people who live in them , who have carved their own comfortable niche in the world and have been kind enough to share it ."
1262,3,The movie should be credited with remembering his victims .
2542,4,"Audiences are advised to sit near the back and squint to avoid noticing some truly egregious lip-non-synching , but otherwise the production is suitably elegant ."
5352,2,A series of immaculately composed shots of Patch Adams quietly freaking out does not make for much of a movie .
10889,3,"Despite her relentless vim and winsome facial symmetry , Witherspoon is just too dialed-up to be America 's Sweetheart ."
4816,1,Tiresomely derivative and hammily acted .
3168,4,"If the plot seems a bit on the skinny side , that 's because Panic Room is interested in nothing more than sucking you in ... and making you sweat ."
10103,5,"Well-written , nicely acted and beautifully shot and scored , the film works on several levels , openly questioning social mores while ensnaring the audience with its emotional pull ."
8851,3,"Maneuvers skillfully through the plot 's hot brine -- until it 's undone by the sogginess of its contemporary characters , and actors ."
2286,4,"The Powerpuff Girls arrive on the big screen with their super-powers , their super-simple animation and their super-dooper-adorability intact ."
1725,4,"The plot of the comeback curlers is n't very interesting actually , but what I like about Men With Brooms and what is kind of special is how the film knows what 's unique and quirky about Canadians ."
6299,1,"The movie 's ultimate point -- that everyone should be themselves -- is trite , but the screenwriter and director Michel Gondry restate it to the point of ridiculousness ."
8213,2,"You come away thinking not only that Kate is n't very bright , but that she has n't been worth caring about and that maybe she , Janine and Molly -- an all-woman dysfunctional family -- deserve one another ."
11066,3,Faultlessly professional but finally slight .
6105,2,A negligible British comedy .
9670,4,"Not for everyone , but for those with whom it will connect , it 's a nice departure from standard moviegoing fare ."
2580,5,"What a concept , what an idea , what a thrill ride ."
9723,2,Absorbing and disturbing -- perhaps more disturbing than originally intended -- but a little clarity would have gone a long way .
11083,3,Mocking kung fu pictures when they were a staple of exploitation theater programming was witty .
11115,5,Diane Lane shines in Unfaithful .
4882,1,"A surprisingly flat retread , hobbled by half-baked setups and sluggish pacing ."
549,4,A complex psychological drama about a father who returns to his son 's home after decades away .
3081,5,"( Reynolds ) takes a classic story , casts attractive and talented actors and uses a magnificent landscape to create a feature film that is wickedly fun to watch ."
7007,2,This is a heartfelt story ... it just is n't a very involving one .
7962,1,"While the story is better-focused than the incomprehensible Anne Rice novel it 's based upon , Queen Of The Damned is a pointless , meandering celebration of the goth-vampire , tortured woe-is-me lifestyle ."
1212,5,Irwin is so earnest that it 's hard to resist his pleas to spare wildlife and respect their environs .
6666,2,Strictly a ` guy 's film ' in the worst sense of the expression .
8516,3,Mildly amusing .
11820,2,Birot 's directorial debut ( she co-wrote the script with Christophe Honoré ) is n't so much bad as it is bland .
397,5,The film is a verbal duel between two gifted performers .
7836,2,"Death to Smoochy tells a moldy-oldie , not-nearly - as-nasty - as-it - thinks-it-is joke ."
5242,2,"And second , what 's with all the shooting ?"
7192,2,"Each story is built on a potentially interesting idea , but the first two are ruined by amateurish writing and acting , while the third feels limited by its short running time ."
11499,1,"Undone by its overly complicated and derivative screenplay , the glacier-paced direction and the stereotypical characters ."
2765,3,Spend your Benjamins on a matinee .
3137,3,"A different kind of love story - one that is dark , disturbing , painful to watch , yet compelling ."
6302,3,It 's just plain boring .
11470,1,"The angst-ridden , affluent slacker characters are more grating than engaging ."
11017,4,"It is also , at times , curiously moving ."
6335,1,"Nobody seems to have cared much about any aspect of it , from its cheesy screenplay to the grayish quality of its lighting to its last-minute , haphazard theatrical release ."
10100,4,Tim Story 's not there yet - but ` Barbershop ' shows he 's on his way .
6883,2,"Imagine a film that begins as a Seven rip-off , only to switch to a mix of The Shining , The Thing , and any naked teenagers horror flick from the 1980s ."
7178,1,"McKay shows crushingly little curiosity about , or is ill-equipped to examine , the interior lives of the characters in his film , much less incorporate them into his narrative ."
760,4,"Angela Gheorghiu as famous prima donna Floria Tosca , Roberto Alagna as her lover Mario Cavaradossi , and Ruggero as the villainous , lecherous police chief Scarpia , all sing beautifully and act adequately ."
5458,2,"A Blair Witch - style adventure that plays like a bad soap opera , with passable performances from everyone in the cast ."
11409,5,"Serry does a fine job of capturing the climate of the times and , perhaps unwittingly , relating it to what is happening in America in 2002 ."
10644,2,The two leads chomp considerably more scenery with their acting than fire-breathing monsters barbecue with their breath ...
10771,1,"A one-trick pony whose few T&A bits still ca n't save itself from being unoriginal , unfunny and unrecommendable ."
7593,2,"Green ruins every single scene he 's in , and the film , while it 's not completely wreaked , is seriously compromised by that ."
1750,4,If you grew up on Scooby -- you 'll love this movie .
6853,1,"Worthless , from its pseudo-rock-video opening to the idiocy of its last frames ."
1451,4,"The heart of the film is a touching reflection on aging , suffering and the prospect of death ."
11696,2,Showtime is closer to Slowtime .
8499,2,Incoherence reigns .
1684,4,Bound to appeal to women looking for a howlingly trashy time .
1171,5,"Maybe not a classic , but a movie the kids will want to see over and over again ."
456,1,A decided lack of spontaneity in its execution and a dearth of real poignancy in its epiphanies .
8685,5,"Looking aristocratic , luminous yet careworn in Jane Hamilton 's exemplary costumes , Rampling gives a performance that could not be improved upon . '"
3746,3,Watching Spirited Away is like watching an Eastern imagination explode .
11446,1,Even die-hard fans of Japanese animation ... will find this one a challenge .
10866,3,Anthony Hopkins ?
1263,5,"Fast-paced and wonderfully edited , the film is extremely thorough ."
5170,3,It 's a boom-box of a movie that might have been titled ` The Loud and the Ludicrous ' ... the pandering to a moviegoing audience dominated by young males is all too calculated .
677,5,"It 's a wonderful , sobering , heart-felt drama ."
896,5,Very well-written and very well-acted .
11097,1,Bullock 's complete lack of focus and ability quickly derails the film
2345,4,"The cast , collectively a successful example of the lovable-loser protagonist , shows deft comic timing ."
7160,1,"Coarse , cliched and clunky , this trifling romantic comedy in which opposites attract for no better reason than that the screenplay demands it squanders the charms of stars Hugh Grant and Sandra Bullock ."
1676,4,"Short-story quaint , touchingly mending a child 's pain for his dead mother via communication with an old woman straight out of Eudora Welty ."
3236,4,"It 's not particularly well made , but since I found myself howling more than cringing , I 'd say the film works ."
8711,5,"Nine Queens is not only than a frighteningly capable debut and genre piece , but also a snapshot of a dangerous political situation on the verge of coming to a head ."
3270,3,"The messy emotions raging throughout this three-hour effort are instantly recognizable , allowing the film to paradoxically feel familiar and foreign at the same time ."
3043,5,"Peter Jackson and company once again dazzle and delight us , fulfilling practically every expectation either a longtime Tolkien fan or a movie-going neophyte could want ."
10044,5,"A very witty take on change , risk and romance , and the film uses humour to make its points about acceptance and growth ."
9890,5,"Moore 's complex and important film is also , believe it or not , immensely entertaining , a David and Goliath story that 's still very much playing itself out ."
11386,2,Has little on its mind aside from scoring points with drag gags .
624,5,"Executed with such gentle but insistent sincerity , with such good humor and appreciation of the daily grind that only the most hardhearted Scrooge could fail to respond ."
8844,3,"Holy mad maniac in a mask , Splat-Man !"
6416,4,Good performances keep it from being a total rehash .
9320,2,Tries to add some spice to its quirky sentiments but the taste is all too familiar .
10748,1,"The actors do n't inhabit their roles -- they 're trapped by them , forced to change behavior in bizarre unjustified fashion and spout dialog that consists mostly of platitudes ."
9103,2,"His comedy premises are often hackneyed or just plain crude , calculated to provoke shocked laughter , without following up on a deeper level ."
4485,1,"... unspeakably , unbearably dull , featuring reams of flatly delivered dialogue and a heroine who comes across as both shallow and dim-witted ."
10010,5,"A tender and touching drama , based on the true story of a troubled African-American 's quest to come to terms with his origins , reveals the yearning we all have in our hearts for acceptance within the family circle ."
4831,1,It 's petty thievery like this that puts flimsy flicks like this behind bars
4970,1,"A frustrating ` tweener ' -- too slick , contrived and exploitative for the art houses and too cynical , small and decadent for the malls ."
9132,1,Just embarrassment and a vague sense of shame .
5132,2,Less a study in madness or love than a study in schoolgirl obsession .
10807,3,"Literally nothing in The Pool is new , but if you grew up on the stalker flicks of the 1980 's this one should appease you for 90 minutes ."
2726,4,"What enlivens this film , beyond the astute direction of Cardoso and beautifully detailed performances by all of the actors , is a note of defiance over social dictates ."
7117,3,"( Allen 's ) been making piffle for a long while , and Hollywood Ending may be his way of saying that piffle is all that the airhead movie business deserves from him right now ."
3490,3,"It 's like a `` Big Chill '' reunion of the Baader-Meinhof Gang , only these guys are more harmless pranksters than political activists ."
1418,2,It 's a shame the marvelous first 101 minutes have to be combined with the misconceived final 5 .
5322,3,"Oops , she 's really done it this time ."
7210,2,"For a movie about the power of poetry and passion , there is precious little of either ."
8074,2,The filmmakers keep pushing the jokes at the expense of character until things fall apart .
8530,1,( A ) poorly executed comedy .
10309,5,It has the courage to wonder about big questions with sincerity and devotion .
2326,5,"The urban landscapes are detailed down to the signs on the kiosks , and the color palette , with lots of somber blues and pinks , is dreamy and evocative ."
4284,3,The result might look like Vulgar .
10616,4,A pleasurably jacked-up piece of action moviemaking .
7083,2,"An even more predictable , cliche-ridden endeavor than its predecessor ."
9989,5,"It 's amazingly perceptive in its subtle , supportive but unsentimental look at the Marks family ."
7405,1,The entire movie is in need of a scented bath .
4836,1,Just another combination of bad animation and mindless violence ... lacking the slightest bit of wit or charm .
1320,5,"This is a stunning film , a one-of-a-kind tour de force ."
10736,3,This charmless nonsense ensues amid clanging film references that make Jay and Silent Bob 's Excellent Adventure seem understated .
3543,4,( Scherfig ) has made a movie that will leave you wondering about the characters ' lives after the clever credits roll .
7109,1,"( Creates ) the worst kind of mythologizing , the kind that sacrifices real heroism and abject suffering for melodrama ."
10516,4,"A picture that extols the virtues of comradeship and community in a spunky , spirited fashion ."
4802,3,A well-made but emotionally scattered film whose hero gives his heart only to the dog .
7474,2,The jokes are telegraphed so far in advance they must have been lost in the mail .
11158,2,What happened with Pluto Nash ?
6434,3,"While Howard 's appreciation of Brown and his writing is clearly well-meaning and sincere , the movie would be impossible to sit through were it not for the supporting cast ."
8703,4,"A study in shades of gray , offering itself up in subtle plot maneuvers ..."
5238,3,... little more than a well-acted television melodrama shot for the big screen .
5674,1,"If we 're to slap protagonist Genevieve LePlouff because she 's French , do we have that same option to slap her creators because they 're clueless and inept ?"
542,4,Jackson and co have brought back the value and respect for the term epic cinema .
2868,4,A gripping documentary that reveals how deep the antagonism lies in war-torn Jerusalem .
6625,2,"Its message has merit and , in the hands of a brutally honest individual like Prophet Jack , might have made a point or two regarding life ."
8061,2,"Though there 's a clarity of purpose and even-handedness to the film 's direction , the drama feels rigged and sluggish ."
4599,2,"When a movie asks you to feel sorry for Mick Jagger 's sex life , it already has one strike against it ."
10140,3,One of ( Herzog 's ) least inspired works .
8056,3,"Harry Potter and the Chamber of Secrets is deja vu all over again , and while that is a cliche , nothing could be more appropriate ."
1467,5,"Schepisi , aided by a cast that seems to include every top-notch British actor who did not appear in Gosford Park ( as well as one , Ms. Mirren , who did ) , has succeeded beyond all expectation ."
4225,3,"It never is , not fully ."
9265,2,"It 's a cookie-cutter movie , a cut-and-paste job ."
7895,2,"... if it had been only half-an-hour long or a TV special , the humor would have been fast and furious -- at ninety minutes , it drags ."
2126,2,We do get the distinct impression that this franchise is drawing to a close .
6458,3,"The animation merely serves up a predictable , maudlin story that swipes heavily from Bambi and The Lion King , yet lacks the emotional resonance of either of those movies ."
2913,3,The film 's heady yet far from impenetrable theory suggests that Russians take comfort in their closed-off nationalist reality .
7344,2,"In his role of observer of the scene , Lawrence sounds whiny and defensive , as if his life-altering experiences made him bitter and less mature ."
2604,5,Richly entertaining and suggestive of any number of metaphorical readings .
1991,4,"Some of the most ravaging , gut-wrenching , frightening war scenes since `` Saving Private Ryan '' have been recreated by John Woo in this little-known story of Native Americans and their role in the second great war ."
7069,1,A ragbag of cliches .
5121,1,"By that measure , it is a failure ."
8726,4,"The best revenge may just be living well because this film , unlike other Dumas adaptations , is far more likened to a treasure than a lengthy jail sentence ."
5186,2,"Not only is it hokey , manipulative and as bland as Wonder Bread dipped in milk , but it also does the absolute last thing we need Hollywood doing to us : It preaches ."
2938,5,Daring and beautifully made .
971,3,`` Me Without You '' is a probing examination of a female friendship set against a few dynamic decades .
3032,4,"The cast ... keeps this pretty watchable , and casting Mick Jagger as director of the escort service was inspired ."
3862,1,"Franco is an excellent choice for the walled-off but combustible hustler , but he does not give the transcendent performance SONNY needs to overcome gaps in character development and story logic ."
1577,5,"It 's something of the ultimate Scorsese film , with all the stomach-turning violence , colorful New York gang lore and other hallmarks of his personal cinema painted on their largest-ever historical canvas ."
7978,1,"Like a bad improvisation exercise , the superficially written characters ramble on tediously about their lives , loves and the art they 're struggling to create ."
5951,1,"Sinks so low in a poorly played game of absurd plot twists , idiotic court maneuvers and stupid characters that even Freeman ca n't save it ."
1566,3,"Creeps you out in high style , even if Nakata did it better ."
8335,4,It strikes hardest ... when it reminds you how pertinent its dynamics remain .
3121,3,"Overall , it 's a wacky and inspired little film that works effortlessly at delivering genuine , acerbic laughs ."
8634,4,"Neither Parker nor Donovan is a typical romantic lead , but they bring a fresh , quirky charm to the formula ."
5498,2,"... a bland , pretentious mess ."
9014,4,"Hardly a masterpiece , but it introduces viewers to a good charitable enterprise and some interesting real people ."
10057,4,"Its scenes and sensibility are all more than familiar , but it exudes a kind of nostalgic spy-movie charm and , at the same time , is so fresh and free of the usual thriller nonsense that it all seems to be happening for the first time ."
